,Unnamed: 0,dates,titles,texts
0,0,2018-11-19,american economy rise new height,president trump deliver economic result see year confidence soar unemployment plummet business expand washington examiner top best economy year highest confidence remarkably low percent call president trump economy problem confidence hit year high seven say good time find quality job key point gallup publish economic survey economic confidence index november remain highest since percent rate current economic condition positively record tie percent say good time find quality job bloomberg factory production expand fifth consecutive month factory production expand october fifth straight month longest streak since indicate solid start fourth quarter federal reserve data show friday manufacture output rise percent upwardly revise percent gain prior month wall street journal small business confidence stay near record high strong labor market high profit trend along historically low inflation keep small business owner confidence near record level set stage strong fourth quarter accord national federation independent business cbnc consumer sentiment top expectation november stay pace best year since preliminary read consumer sentiment november release friday come slightly expectation university michigan consumer sentiment index hit cns news unemployment rate record low state california new york texas missouri iowa unemployment rate record low ten state october accord data release today bureau labor statistic arkansas percent california percent idaho percent iowa percent missouri percent new york percent oregon percent south carolina percent texas percent washington percent statewide unemployment rate lowest level record accord bls washington examiner ratio unemployed worker available job hover record low ratio unemployed worker open job hover record low september bureau labor statistic report tuesday morning sign economy strength unemployed worker every job vacancy list month ratio agency say lowest since keep track record year wall street journal yes hire need meet first eager employer try lure worker tightest job market since hire candidate sight unseen time one phone interview practice become common seasonal work particularly retail although spread among certain demand white collar role engineer professional teacher bloomberg bna unite steelworker get raise steel amid tariff win union approve new four year agreement include percent wage increase life contract strengthen benefit member accord statement agreement come american steel company benefit percent tariff foreign import metal
1,1,2018-11-19,kushner philipson criminal justice reform improve expensive ineffective system lower recidivism,cost criminal activity unacceptably high reform support president promise reduce cost cut recidivism criminal justice reform improve expensive ineffective system lower recidivismjared kushner tomas philipsonusa todaynovember crime impose substantial fiscal social cost unite state percent nation gdp spend fund state federal criminal justice system victim society large also bear significant cost pain suffer reduce quality life property loss increase medical cost loss life recent estimate indicate altogether damage constitute additional percent gdp yield total burden percent gdp roughly billion cost attribute part crime commit prisoner already serve prison recidivism release state federal facility recent trend hold almost half federal inmate conditionally release arrest within year release percent state offender release community supervision arrest within year release break cycle president donald trump work effect bipartisan evidence base prison reform reduce recidivism issue executive order march bring together dozen federal agency identify way reduce recidivism enhance reentry process improve public safety administration also work congress draft first step act legislation seek strengthen recidivism reduction evidence base reentry program inmate federal prison continue work law enforcement faith business community find way get people leave prison properly reintegrate society government investment prison education view extension exist public investment much like public investment higher income population publicly finance school university student loan build human capital elsewhere economy bipartisan reform support president important broad base approach hopefully benefit prisoner also american public white house recognize fiscal human cost criminal activity unacceptably high effort break cycle crime reduce recidivism assist people contribute society rather burden great country read full op ed
2,2,2018-11-18,president trump administration advance free open indo pacific investment partnership economics security governance,steadfast endure commitment vice president penny visit japan singapore australia papua new guinea week reaffirm president trump commitment free open indo pacific nation sovereign strong prosperous two century american security prosperity depend upon free open access indo pacific region allow two way investment trade today support million american job number grow administration counteract state sponsor theft intellectual property market distortion fuel trade imbalance indo pacific encompass half earth surface half human family two third global trade economic strategic significance american grow day enhance share prosperity america make foreign direct investment trillion indo pacific region chinese japanese south korean investment combine president trump america first economic agenda include deregulation tax cut tax reform also mean america attract investment indo pacific ever vice president penny announce new initiative advance fair reciprocal trade mobilize even greater private investment build act president trump sign october double development finance capacity billion week japan australia sign trilateral memorandum understand development finance cooperation indo pacific update korea free trade agreement trump administration intend negotiate japan trade agreement japan strategic energy partnership japan align billion regional energy investment target trump administration asia edge initiative new asean smart city partnership help municipal government advance digital transformation urban system sega program build capacity apec economy adopt high standard comprehensive trade investment policy ensure peaceful secure regional order vice president penny deepen cooperation ally partner north korean denuclearization freedom navigation east south china sea combat terrorism violent extremism unite state japan announce delivery ten value billion foreign military sale program six deliver unite state provide half billion dollar security assistance indo pacific nation year double previous year unite state expand maritime security cooperation indian ocean region pacific island champion good governance civil society vice president penny announce indo pacific transparency initiative help country attract greater private investment combat corruption secure nation autonomy foreign coercion unite state promote sound responsive governance effort counter corruption encourage strong civil society honest business practice conjunction million indo pacific transparency initiative cooperate ally partner regional institution include asean apec advance share principle
3,3,2018-11-18,remark vice president penny announcement papua new guinea electrification partnership,apec hausport moresby papua new guineathe vice president prime minister neill honor papua new guinea historic announcement great honor behalf president donald trump join prime minister abe prime minister morrison prime minister ardern announce papua new guinea electrification partnership bring electricity percent people papua new guinea year mr prime minister extraordinary commitment part reflection leadership trust people papua new guinea see evidence strong commitment nation represent include unite state america brighter future papua new guinea last year president trump lay vision free open indo pacific commitment unite state america region world never stronger trust announcement today part unite state america joint announcement proof america business invest region never actually first project development cooperation agreement unite state forge japan australia last week honor join new zealand bring expertise business help deliver promise bring electrification percent country end decade remarkable think impact people live across nation electricity drive economic growth others say simply improve quality life people across papua new guinea generation come people unite state america honor partner historic project assure ally gather friend across region unite state america go continue work way build brighter future papua new guinea across indo pacific people congratulation mr prime minister leader gather honor work advance future opportunity people papua new guinea thank applause end
4,4,2018-11-18,remark president trump tour malibu neighborhood,point mugumalibu californianovember pstthe president well thank much second stop incredible malibu certain section malibu lovely get much better see devastation guess total say would say deputy chief schuler acre sir president acre tremendous amount land know acre people envision tremendous piece land devastate see say government official do incredible job look devastation guess moment area three death far deputy chief schuler yes sir president three death pretty incredible horrible also pretty incredible job do evacuate early take lot heat make right decision congratulate lot political pressure nobody think go happen unhappy happy leave great decision law enforcement first responder military really help lot sit visit today course fema brock think brock do great job do great job maybe ask say word brock brock long fema administrator long absolutely thank mr president southern california also paradise job fema coordinate firepower federal government governor ultimately help firefighter local level police emergency manager overcome disaster assistance provide go able assist debris removal importantly take care people know mass care also fire mitigation see wildfire go area like land scorch know little bite rain nice much rain could problem already try think ahead work partner try mitigate additional impact come president town everyplace visit see ask question go expedite rebuild mean permit go come lot faster would normally case actually area pretty tough get permit know go go fast expedite get rebuild redo great thing make thing happen lot faster jerry would like say something governor brown yeah matter fact sign executive order cut red tape speed permit process well recovery action help say go learn lot nature wind fire potential build build escape measure protection build go cheap think carefully really look fact take learn apply go forward course mr newsom laughter governor elect newsom thank baton laughter yeah mean know mendocino fire tubbs fire thomas fire mean go list know unaccept mean point past point people enough get deal head mean governor do amaze job legislature last couple year invest record amount money effort clearly underscore also want underscore fundamental point collaboration cooperation get federal government grateful politics play president sign emergency declaration immediately cannot impress upon folk grateful conversation private public course last hour term expectation go forward federal government go today tomorrow course next year rebuild president right true okay percent get get go would like say something deputy chief schuler would say behalf cal fire state fire department throughout california still remain critical fire weather fire fire north continue gain containment challenge cooperation agency throughout california successful thank president good chief chief osby right well daryl osby fire chief los angeles county fire department behalf county los angeles really want thank governor president presence get state federal resource support relate combat fire also resource rebuild community also want thank know counterpart cal fire law enforcement partner hand deck relate try protect community successful get ten thousand people unfortunately lose property save lot could imagine hurricane type force wind come community firefighter sheriff protect citizen conclusion mr president governor thank support look forward rebuild community also look forward local state federal level really talk challenge mitigate prevent thing occur future president thank chief fella mayor mullen rick mullen mayor city malibu mr president thank much come president thank mayor mullen show concern also thank support give governor governor elect also appreciate everything do malibu take chin compare fire north lose many live silver line save lot live pay frustration people outside get mandatory evacuation order thank patience go get back quickly possible everybody suffer loss personal belong precious memory go everything assistance fine gentleman get back together leave stone unturned come together malibu strong thank much mr president president thank much appreciate supervisor foy mr president appreciate peter foy ventura county supervisor appreciate everything do appreciate fire la county ventura county come together save live like say mean amaze part stuff see lot tragedy ventura county shoot whole bite amaze rebuild get appreciate mr president prayer wife prayer whole country prayer community strong california appreciate governor governor elect show support go get go tough appreciate everything happen malibu rest thank thank president well thank peter do great job mention shoot go see family victim first responder police law enforcement generally job do really incredible brave supervisor foy saw ron president first one door right first one door take supervisor foy hero yeah appreciate governor governor elect memorial happen president yeah beautiful memorial supervisor foy appreciate thank president go go see maybe go join really appreciate great job supervisor foy well thank thank mr president president thank deputy chief schuler thank sir chief osby thank president thank much mr president actually see eye change perception change perception president well think horrible thing go long time think go come plan method mitigation go great success something work much better really believe strong believer lot city forest look europe place lot forest state mostly forest problem california unique place get unique leadership great leadership go work leadership work gavin part think go come pretty good conclusion maybe importantly real solution problem big problem every year especially certain time year turn automatic massive forest mean massive fire case look leave talk tremendous number death three guess minimum three much supervisor foy many president go work lot mean mitigation solve problem big problem decade long jerry long gavin long mean go long think come really great solution question mr president often talk fact politics mean business sometimes president yeah nice get together yeah mean opportunity face time president yeah people sometimes criticize publically feel like relationship potentially state california might change president well think develop good relationship know jerry long time think get closer today could ever get last year gavin meet hear terrific thing think develop great relationship work together big problem solve problem know go work together doubt come doubt right laughter go get do really obligation governor elect newsom absolutely president think obligation governor elect newsom absolutely president really choice get do governor elect newsom yep president go work together closely lot people agree say land management president yeah another big question possible climate change real issue need change president well look everything mean land management forest management really mean go look every factor go get bottom think fairly quickly really take area expose problem work first know probably know right example participant exactly already know yeah regular basis president go come really good solution jennifer something yeah mr president say air force one feel like similarity governor brown realize mean climate change mean general president well think similarity many way know one real similarity want come right conclusion know get know get right conclusion get forest fire stop really think way want turn every year certain time turn almost expect watch new york watch washington really see gravity mean big look tube see go come saw pleasure name right paradise president saw leave pleasure paradise president paradise saw paradise know acceptable think similarity governor brown climate change governor brown let answer yeah absolutely governor brown laugh would say shock go heighten focus attention also cooperation president say go get bottom short term response mid term longer term response think go pull together whatever need get agree solve week month even year two time think go get go understand better would say mr president california year never people get million get learn live nature creative sophisticate way think go challenge think meet least newsom meet go watch ranch laughter go require new fund measure seek congress inaudible president put farm bill million look know look combination two malibu place mean two place sound like lot money much money state contribute go contribute go get take care mean saw sight forget hundred people still account tough tough situation hopefully relative problem certainly account go spend money necessary great great people live unfair put often gavin know jerry know know folk know do fantastic job really mean do law enforcement standpoint fire fire prevention standpoint do incredible really hold back could far worse know know still put fire fire another section go way deputy chief schuler percent contain chief chief osby yeah still hot spot area canyon concern think november th full containment president paradise section go absolutely wild right additional fire look jerry map vibrant forest right next governor brown yeah sure president know fight talk throw water everything tremendous number brave people wind change know happen people big trouble take look go take look right speak happen go successful wind come long take put rest fire chief osby pretty confident right still offshore wind really die significantly president yeah good chief osby see marine influence firefighter get moisture weather still several thousand firefighter confident full containment november th stand start repopulate entire breadth incident county los angeles surround city try start rehabilitation help people get live back together go take several year work local official county state federal government appreciate support president well send lot extra people paradise go mean literally speak massive number people go large number people come seem much control right wind stop assume good thing wind stop one problem especially paradise problem wind wind mean say mile hour pretty tough okay question mr president speak earlier today cia director gina haspel president yes wake report cia ass mb crown prince behind assassination jamal khashoggi believe speak cia director still trust saudi denial president yeah speak cia director terrific knowledgeable study closely horrible thing take place kill journalist bad situation khashoggi somebody respect never happen full report next two day probably monday tuesday full report cia ass mb behind president ass anything yet early premature report possible go see go report tuesday complete meantime thing people know fact involve tough lot people report tuesday mention president go come report think overall impact cause talk kill talk anything else talk kill say shoot victim mr president say shoot victim president well go see right go see lose everything think maybe need change come gun thing could do could do prevent president well tell talk little go see family right hear incredible family way handle horrible horrible event great area area one supervisor foy safe one safest city america president safest place right supervisor foy yeah safest city america president read like safest place america happen go see family right see back airport okay thank much end pst
5,5,2018-11-18,remark vice president penny thanksgiving gather military family,andersen air force baseyigo guamthe vice president thank dear applause let hear karen penny everybody something applause thank much thank come finish eight day journey represent unite state america across indo pacific miss opportunity stop andersen air force base america day start every day applause among men woman prepare prevail every single day proud proud army air force coast guard marine locate course navy give round applause proud every one applause thank thank service bring greet great champion arm force unite state america saw folk wave flag behalf let bring greet someone know would want let know proud bring greet th president unite state america president donald trump applause inaudible know karen already tell know father serve combat korea father air force proud parent unite state marine proud serve alongside president care deeply arm force national defense family serve alongside arm force mean hope take note fact first two year administration make largest investment national defense since day ronald reagan rebuild military restore arsenal democracy also include largest pay raise military personnel nearly year deserve every single penny applause mean go keep support come sacrifice one make step forward volunteer military serve every day vanguard freedom guam grateful frankly travel cross region hear leader around world gratitude america arm force strength presence region commitment share security appreciate people unite state america want assure ally partner region appreciate service well karen say become real national champion know wear uniform almost always serve alone let hear military spouse room kid people make sacrifice applause incredibly proud incredibly proud every one want thank sacrifice make far home week realize far home laugh long way thank thank follow family thank sacrifice make hope hear heart wife karen know express american people feel wear uniform family serve alongside every day get tell american people admire men woman military admire family serve alongside little family feel way first family well go inaudible mic go laughter hint laughter go stop talk really would like get around karen get stuff want pas spouse like selfie laughter love get around say hello many wing way hawaii back nation capital know serve meal tell turkey involve round applause kitchen applause great job know like spend little bite time devotion together every day family open good book great verse say every form prayer petition thanksgiving present request god nation gather inaudible come thursday little family gather couple kid home want know come thanksgiving thankful thankful every one stand freedom every day count others important put uniform defend greatest nation earth grateful nation grateful commander chief grateful second family say heart family happy thanksgiving god bless applause end
6,6,2018-11-18,remark president trump incident command post brief chico california,incident command postchico californianovember pstgovernor brown say word know tragic find hard find right way put people really work hard people suffer many people many different place background service pull together say thank firefighter first responder thank federal government fema terrific really appreciate president put focus spotlight probably worst tragedy california ever face least fire situation president trump president well thank jerry want also thank fema law enforcement folk incredible first responder firefighter want know get lot territory cover still go heavily big area intense flame right next explosive area say mean big problem go fight fight like hell never see anything like california never see anything like jerry like total devastation want thank everybody brock go give little presentation go men woman fight fire incredible know people lose go look hundred people right literally hundred look hopefully go good conclusion instead bad conclusion maybe leave maybe love one somewhere else know look hundred people know answer next hour think part brock perhaps could give little bite presentation go stop rest monster administrator long yes sir mr president discus probably worst disaster see career go take partnership level government know help governor achieve response recovery goal also time neighbor help neighbor important fema grind since tuesday make sure full situational awareness help state achieve need do come firefighting also know take care people part mass care issue set disaster recovery center also ask people call femaor godisasterassistance govto register point morning think people already register assistance system hand close million directly qualify assistance obviously firefighting main priority take care people make sure get people transition shelter longer term home also work mark ghilarducci state california do tremendous job make sure help understand go debris removal get infrastructure back start help community like concow paradise strive new normal think time turn incident commander fight fire mr russell mr president could turn progression map fire blue first day experience significant damage obviously go almost acre within first hour almost structure burn time inaudible concow paradise inaudible part still significant challenge inaudible river drainage weather receive wind red flag warn still come weekend along president inaudible mr russell absolutely whole area especially river drainage still community inaudible creek area outside burn area concern president well good luck mr russell thank much sir president welcome inaudible thank thank everyone thank mr president see role climate change fire see california recently president say role climate change fire california president well think lot factor management factor know jerry really well gavin go go look together right seem big problem go get problem solve farm bill put quite bite money million farm bill management maintenance forest beyond area really management million farm bill put farm bill move along pretty rapidly great farmer new category management maintenance forest important want thank folk right law enforcement great great job applause see devastation though change opinion climate change mr president president strong opinion want great climate go go forest safe go every year go go safe forest happen speak speak say fire say need change fire management state local official do inaudible president go work together federal government state local federal government federal government go work state local go help fund go take go take lot fund tell do thing differently point president lot thing learn lot thing learn work hard think go see something spectacular next number year governor brown think really look fact open point view lot element consider president come saw look forward next month even beyond really understand threat fire whole matter drought rest one thing lot thing think open mind look thing get stuff do president okay thank much thank end pst
7,7,2018-11-17,papua new guinea electrification partnership,papua new guinea invite australia japan new zealand unite state work together support enhance connectivity goal connect population electricity currently papua new guinea population reliable access electricity access electricity key papua new guinea economic growth electricity lift live standard community city town remote village allow school hospital deliver essential service also essential precursor growth private sector industry include small medium enterprise progress towards papua new guinea ambitious objective require large scale investment public private sector include investment new generation capacity well transmission distribution line connect household service provider business grid continue effort improve institutional regulatory framework also require order unlock private investment papua new guinea australia japan new zealand unite state intend join together papua new guinea electrification partnership support papua new guinea objective electrification high level partnership form part endure economic security partnership country initiative also open partner support principle value help maintain promote free open prosperous rule base region papua new guinea electrification partnership intend focus importance principle base sustainable infrastructure development transparent non discriminatory environmentally responsible promote fair open competition uphold robust standard meet genuine need people papua new guinea avoid unsustainable debt burden intend adopt strong focus investment provide employment train opportunity local contractor community also intend focus deliver high impact investment ensure improve coordination governance within energy sector importantly initiative represent true partnership papua new guinea key partner drive growth development community throughout papua new guinea partnership intend deliver alignment papua new guinea plan priority implement close conjunction png power limit prime minister papua new guinea neill australia morrison japan abe new zealand ardern vice president unite state mike penny hereby sign joint statement mark announcement new multi country initiative apec house november announcement signal strong commitment country support growth enable investment key economic infrastructure papua new guinea
8,8,2018-11-17,remark president trump marine one departure,estthe president hey everybody go california make two stop go two area know well shame seem many people miss anyone think even possible want firefighter fema first responder spend lot time come back probably land four clock morning something like want spend lot time want discus many thing meet governor new governor governor elect lot thing talk talk forest management say long time could lot different situation one thing everybody know question do many year ago think everybody right side big issue big issue expensive issue inexpensive compare even one horrible fire save lot live addition lot money talk governor talk first responder fema incredible firefighter unbelievably brave story read last night unbelievably brave okay inaudible murder president well brief yet cia go speak today brief yet moment tell play role go find say inaudible president say submit answer special counsel president next week do inaudible president yeah inaudible crown prince hold responsible president well take look know also great ally saudi arabia give lot job give lot business lot economic development truly spectacular ally term job economic development also take know president take lot thing consideration talk cia later lot others plane speak also secretary state mike pompeo inaudible president talk talk see inaudible president consideration look always look whatever turkey frankly country get along well good moment turkey know give pastor brunson back last week appreciate well turkey get along well president friend mine strong man tough man smart man friend mine whatever something always look point mr president inaudible mueller inaudible president inaudible robert mueller president even talk inaudible southern border president yeah tremendous military force border southern border large number people try get country must say reason increase much well oppose rest world look south border well regardless million people line get country legally people preference preference wait long time do legally lot thing happen great military force southern border let people country illegally release catch release think go release country like old day like year year catch release release get release inaudible president inaudible president long necessary build great fence build powerful fence different kind fence powerful fence fully man nobody get catch release interest say morning come talk great fear problem country wave country flag fear problem hate country see flag wave guatemala honduras el salvador see flag place wave flag nothing asylum get country illegally know want come country okay inaudible vice president mike penny inaudible question loyalty president question loyalty percent loyal phony story doubt source typical new york time phony story mike penny percent even doubt enter mind trooper soon primary mean one choose could happier question loyalty already test many way mike penny terrific person phony story write new york time way never call comment story like see fake news break country fake news story like call principal would give quote would say true end story write make source may speak one person make phony source make like write novel ever write novel way lot news story look call fake news fake bad thing country dangerous mike penny percent retract story story without call quote could call sarah huckabee say get quote get quote president would happy give quote would happy know quote would mike penny percent story like call quote inaudible nancy pelosi president would help nancy pelosi need vote may need vote perform wonderful service like believe like nancy pelosi mean tough smart deserve speaker play game like play call presidential harassment president country great job harass presidential harassment well way party harass nobody else speaker mean hundred year definitely start nancy pelosi speaker already lot vote need vote ask give vote put top inaudible republican would vote president well saw tom reed example fine man congressman would call moderate say get super conservative side maybe even get imagine would need many whatever number vote need get automatic tell opposition waste time mr president go shutdown get fund border wall president talk board wall border wall talk quite big sum money billion think probably ever go shutdown border security look caravan look mess look people come would good time shutdown think go necessary think democrat come sense come sense continue win election know senate recognize right mean judge get approve easier actually pick start pick two seat senate go tremendous difference senator really like also difference thank much thank inaudible president inaudible president close make decision ambassador attorney general tell decision make great gentleman matt whitaker everybody tell fantastic job consider pam bondi administration position president consider pam bondi anything right know well meantime get good job good job always do good job form form love administration great people know tremendous people cabinet happy make adjustment yes great cabinet take look military happy secretary defense way jim mattis great job mike pompeo great job truly great cabinet could go every one might able figure one two little bite le happy good okay thank see california thank inaudible president go look everything thank end edt
9,9,2018-11-17,readout vice president pences meet prime minister peter oneill papua new guinea,vice president penny meet today prime minister peter neill papua new guinea port moresby vice president penny thank prime minister neill papua new guinea leadership host asia pacific economic cooperation meet recognize government work improve live people papua new guinea note pivotal role play private sector png current future development include exxon mobil billion investment affirm continue role investment realize papua new guinea enormous potential drive sustainable growth region two leader pledge expand cooperation defense issue confirm mutual interest two country expand maritime security cooperation recognize papua new guinea role regional leader vice president confirm unite state interest deepen partnership papua new guinea advance free open indo pacific
